m,q,extra_count,ordered_extras,positive_extra_count,full_bound_extra_count,base_density,per_extra_bound,gain,gain_in_bound_units,extra_lengths_descending,success,status_name,mip_gap,mip_node_count,mip_rel_gap_option,mip_abs_gap_option,solution
12,4,4,False,3,2,0.14285714285714285,0.000992063492063492,0.0023974867726499205,2.41666666683112,"[0.000992063492063492, 0.000992063492063379, 0.00041335978836200114, 1.6105701724945024e-13]",True,optimal,0.0,61936,0.0,0.0,m12_q4_extra4_per_extra_bound_1over1008_relgap0_absgap0_solution.json
12,4,5,True,3,2,0.14285714285714285,0.000992063492063492,0.00239748677249893,2.4166666666789216,"[0.0009920634920767783, 0.0009920634920634885, 0.00041335978835865816, -0.0, -0.0]",True,optimal,0.0,12129,0.0,0.0,m12_q4_extra5_per_extra_bound_1over1008_ordered1_relgap0_absgap0_solution.json
13,4,4,False,2,2,0.14358974358974358,0.0003944773175542406,0.0007889546407177095,2.0000000142193937,"[0.0003944773175542406, 0.0003944773175542406, 5.6092405853785454e-12, -0.0]",True,optimal,0.0,34464,0.0,0.0,m13_q4_extra4_per_extra_bound_1over2535_relgap0_absgap0_solution.json
13,4,5,True,2,2,0.14358974358974358,0.0003944773175542406,0.0007889546351248222,2.000000000041424,"[0.0003944773175542406, 0.0003944773175542406, 1.6328450660192608e-14, -0.0, -0.0]",True,optimal,0.0,8506,0.0,0.0,m13_q4_extra5_per_extra_bound_1over2535_ordered1_relgap0_absgap0_solution.json
16,5,4,False,4,4,0.1388888888888889,0.0004340277777777778,0.001736111111111105,3.9999999999999853,"[0.0004340277777777778, 0.0004340277777777778, 0.0004340277777777778, 0.0004340277777777778]",True,optimal,0.0,530,0.0,0.0,m16_q5_extra4_per_extra_bound_1over2304_relgap0_absgap0_solution.json
16,5,5,False,4,4,0.1388888888888889,0.0004340277777777778,0.00173611111118821,4.000000000177636,"[0.0004340277777777778, 0.0004340277777777778, 0.0004340277777777778, 0.0004340277777777778, 7.712630739075816e-14]",True,optimal,0.0,238840,0.0,0.0,m16_q5_extra5_per_extra_bound_1over2304_relgap0_absgap0_solution.json
16,5,5,True,4,4,0.1388888888888889,0.0004340277777777778,0.001736111111111105,3.9999999999999853,"[0.00043402777777779174, 0.0004340277777777778, 0.0004340277777777778, 0.00043402777777776995, -0.0]",True,optimal,0.0,3873,0.0,0.0,m16_q5_extra5_per_extra_bound_1over2304_ordered1_relgap0_absgap0_solution.json
17,5,4,False,4,4,0.1393188854489164,0.0001821161901293025,0.0007284647605172168,4.000000000000037,"[0.0001821161901293025, 0.0001821161901293025, 0.0001821161901293025, 0.0001821161901293025]",True,optimal,0.0,933,0.0,0.0,m17_q5_extra4_per_extra_bound_1over5491_relgap0_absgap0_solution.json
17,5,5,False,4,4,0.1393188854489164,0.0001821161901293025,0.0007284647605230177,4.00000000003189,"[0.00018211619013511614, 0.0001821161901293025, 0.0001821161901293025, 0.0001821161901293025, -0.0]",True,optimal,0.0,28418,0.0,0.0,m17_q5_extra5_per_extra_bound_1over5491_relgap0_absgap0_solution.json
17,5,6,True,4,4,0.1393188854489164,0.0001821161901293025,0.0007284647605189376,4.000000000009486,"[0.00018211619013102872, 0.00018211619012930357, 0.00018211619012930338, 0.0001821161901293025, -0.0, -0.0]",True,optimal,0.0,22904,0.0,0.0,m17_q5_extra6_per_extra_bound_1over5491_ordered1_relgap0_absgap0_solution.json
20,6,4,False,4,4,0.13636363636363635,0.00022727272727272727,0.0009090909090909149,4.000000000000026,"[0.00022727272727272727, 0.00022727272727272727, 0.00022727272727272727, 0.00022727272727272727]",True,optimal,0.0,1111,0.0,0.0,m20_q6_extra4_per_extra_bound_1over4400_relgap0_absgap0_solution.json
20,6,5,False,5,5,0.13636363636363635,0.00022727272727272727,0.0011363636363636576,5.000000000000093,"[0.00022727272727272727, 0.00022727272727272727, 0.00022727272727272727, 0.00022727272727272727, 0.00022727272727272727]",True,optimal,0.0,1719,0.0,0.0,m20_q6_extra5_per_extra_bound_1over4400_relgap0_absgap0_solution.json
20,6,6,False,6,6,0.13636363636363635,0.00022727272727272727,0.0013636363636363724,6.000000000000039,"[0.00022727272727272727, 0.00022727272727272727, 0.00022727272727272727, 0.00022727272727272727, 0.00022727272727272727, 0.00022727272727272727]",True,optimal,0.0,5511,0.0,0.0,m20_q6_extra6_per_extra_bound_1over4400_relgap0_absgap0_solution.json
20,6,7,True,6,6,0.13636363636363635,0.00022727272727272727,0.0013636363636364557,6.000000000000405,"[0.0002272727272728037, 0.00022727272727272727, 0.00022727272727272727, 0.00022727272727272727, 0.00022727272727272727, 0.00022727272727272725, -0.0]",True,optimal,0.0,39295,0.0,0.0,m20_q6_extra7_per_extra_bound_1over4400_ordered1_relgap0_absgap0_solution.json
21,6,4,False,4,4,0.13664596273291924,9.859016070196195e-05,0.00039436064280787275,4.000000000000253,"[9.859016070196195e-05, 9.859016070196195e-05, 9.859016070196195e-05, 9.859016070196195e-05]",True,optimal,0.0,795,0.0,0.0,m21_q6_extra4_per_extra_bound_1over10143_relgap0_absgap0_solution.json
21,6,5,False,5,5,0.13664596273291924,9.859016070196195e-05,0.000492950803509834,5.000000000000246,"[9.859016070196195e-05, 9.859016070196195e-05, 9.859016070196195e-05, 9.859016070196195e-05, 9.859016070196195e-05]",True,optimal,0.0,2903,0.0,0.0,m21_q6_extra5_per_extra_bound_1over10143_relgap0_absgap0_solution.json
21,6,6,False,6,6,0.13664596273291924,9.859016070196195e-05,0.0005915409642117953,6.000000000000239,"[9.859016070196195e-05, 9.859016070196195e-05, 9.859016070196195e-05, 9.859016070196195e-05, 9.859016070196195e-05, 9.859016070196195e-05]",True,optimal,0.0,10739,0.0,0.0,m21_q6_extra6_per_extra_bound_1over10143_relgap0_absgap0_solution.json
21,6,7,True,6,6,0.13664596273291924,9.859016070196195e-05,0.0005915409642118785,6.000000000001084,"[9.859016070197744e-05, 9.859016070196195e-05, 9.859016070196195e-05, 9.859016070196195e-05, 9.859016070196195e-05, 9.859016070196195e-05, 9.053604427002765e-17]",True,optimal,0.0,9664,0.0,0.0,m21_q6_extra7_per_extra_bound_1over10143_ordered1_relgap0_absgap0_solution.json
